2016-09-01 16:41:27,203 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.aqm:staf:0.0.1-SNAPSHOT @ D:\NIATestAutomation\seltaf\pom.xml.
2016-09-01 16:41:48,883 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.aqm:staf:0.0.1-SNAPSHOT @ D:\NIATestAutomation\seltaf\pom.xml.
2016-09-01 16:41:56,700 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.aqm:staf:0.0.1-SNAPSHOT @ D:\NIATestAutomation\seltaf\pom.xml.
2016-09-01 16:52:43,867 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.aqm:staf:0.0.1-SNAPSHOT @ D:\NIATestAutomation\seltaf\pom.xml.
2016-09-01 16:52:52,232 [Worker-7] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-09-01 16:52:53,054 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.aqm:staf:0.0.1-SNAPSHOT @ D:\NIATestAutomation\seltaf\pom.xml.
2016-09-01 16:52:56,939 [Worker-7] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 4 sec
2016-09-01 16:56:38,947 [Worker-3] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-09-01 16:56:39,099 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.aqm:staf:0.0.1-SNAPSHOT @ D:\NIATestAutomation\seltaf\pom.xml.
2016-09-01 16:56:39,693 [Worker-3] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2016-09-01 16:57:03,501 [Worker-13] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-09-01 16:57:03,683 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.aqm:staf:0.0.1-SNAPSHOT @ D:\NIATestAutomation\seltaf\pom.xml.
2016-09-01 16:57:03,699 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.testng:testng:jar:6.1.1 is missing, no dependency information available
2016-09-01 16:57:03,729 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.seleniumhq.selenium:selenium-server:jar:2.45.0 is missing, no dependency information available
2016-09-01 16:57:03,729 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.seleniumhq.selenium:selenium-api:jar:2.45.0 is missing, no dependency information available
2016-09-01 16:57:03,744 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.hibernate:hibernate-core:jar:4.3.8.Final is missing, no dependency information available
2016-09-01 16:57:03,759 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.poi:poi:jar:3.11 is missing, no dependency information available
2016-09-01 16:57:03,775 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.poi:poi-ooxml:jar:3.11 is missing, no dependency information available
2016-09-01 16:57:03,775 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for xml-apis:xml-apis:jar:1.4.01 is missing, no dependency information available
2016-09-01 16:57:03,790 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.uncommons:reportng:jar:1.1.2 is missing, no dependency information available
2016-09-01 16:57:03,805 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.google.inject:guice:jar:3.0 is missing, no dependency information available
2016-09-01 16:57:03,805 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for javax.mail:javax.mail-api:jar:1.5.3 is missing, no dependency information available
2016-09-01 16:57:04,339 [Worker-13] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2016-09-01 16:57:50,715 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.aqm:staf:0.0.1-SNAPSHOT @ D:\NIATestAutomation\seltaf\pom.xml.
2016-09-01 16:57:57,688 [Worker-10] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-09-01 16:57:57,703 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.aqm:staf:0.0.1-SNAPSHOT @ D:\NIATestAutomation\seltaf\pom.xml.
2016-09-01 16:58:17,990 [Worker-10] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 20 sec
2016-09-01 17:00:38,720 [Worker-16] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.aqm:staf:0.0.1-SNAPSHOT @ D:\NIATestAutomation\seltaf\pom.xml.
2016-09-15 12:51:07,324 [Worker-20] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.aqm:staf:0.0.1-SNAPSHOT @ D:\NIATestAutomation\seltaf\pom.xml.
